100 - M,"PRECINTOS PLASTICOS MINI 2,5  X 100 MM (2,5  X 100 MM)",214.26,MASSOL
150 - I,"PRECINTOS PLASTICOS INTERMEDIO 3,6  X 150 MM (3,6  X 150 MM)",481.12,MASSOL
200 - ST,"PRECINTOS PLASTICOS STANDARD 4,8  X 200 MM (4,8  X 200 MM)",899.58,MASSOL
250 - ST,"PRECINTOS PLASTICOS STANDARD 4,8  X 250 MM (4,8  X 250 MM)",1258.48,MASSOL
300 - ST,"PRECINTOS PLASTICOS STANDARD 4,8 X 300 (4,8  X 300 MM)",1521.47,MASSOL
350 - ST,"PRECINTOS PLASTICOS STANDARD 4,8 X 350 (4,8  X 350 MM)",2035.08,MASSOL
400 - ST,"PRECINTOS PLASTICOS STANDARD 4,8 X 400 (4,8  X 400 MM)",2271.77,MASSOL
300 - HD,"PRECINTOS PLASTICOS REFORZADOS 7,5 X 300 (7,5  X 300 MM)",2578.08,MASSOL
350 - HD,"PRECINTOS PLASTICOS REFORZADOS 7,5 X 350 (7,5  X 350 MM)",3312.13,MASSOL
400 - HD,"PRECINTOS PLASTICOS REFORZADOS 7,5 X 400 (7,5  X 400 MM)",3859.76,MASSOL
450 - HD,"PRECINTOS PLASTICOS REFORZADOS 7,5 X 450 (7,5  X 450 MM)",2215.30,MASSOL
500 - HD,"PRECINTOS PLASTICOS REFORZADOS 7,5 X 500 (7,5  X 500 MM)",2872.01,MASSOL
550 - HD,"PRECINTOS PLASTICOS REFORZADOS 7,5 X 550 (7,5  X 550 MM)",3452.90,MASSOL
600 - HD,"PRECINTOS PLASTICOS REFORZADOS 7,5 X 600 (7,5  X 600 MM)",3770.04,MASSOL
400-ST GRIS,"PRECINTOS PLASTICOS GRIS TAZA AUTOS 4,8 X 400 (4,8  X 400 MM)",2035.08,MASSOL
400 - SR,"PRECINTOS PLASTICOS SUPER REFORZADOS 9,5 X 400 (9,5  X 400 MM)",2506.14,MASSOL
450 - SR,"PRECINTOS PLASTICOS SUPER REFORZADOS 9,5 X 450 (9,5  X 450 MM)",2878.97,MASSOL
500 - SR,"PRECINTOS PLASTICOS SUPER REFORZADOS 9,5 X 500 (9,5  X 500 MM)",3733.68,MASSOL
550 - SR,"PRECINTOS PLASTICOS SUPER REFORZADOS 9,5 X 550 (9,5  X 550 MM)",4488.62,MASSOL
600 - SR,"PRECINTOS PLASTICOS SUPER REFORZADOS 9,5 X 600 (9,5  X 600 MM)",4901.67,MASSOL
CA6,TARUGOS CON ARANDELA Nº 6 CAJA X 100 (CAJA X 100 UNIDADES),439.35,MASSOL
CA8,TARUGOS CON ARANDELA Nº 8 CAJA X 50 (CAJA X 50 UNIDADES),766.54,MASSOL
CA10,TARUGOS CON ARANDELA Nº 10 CAJA X 25 (CAJA X 25 UNIDADES),757.26,MASSOL
TC6,TARUGO 3 CORTES Nº6 CAJA X 100 (CAJA X 100 UNIDADES),1064.34,MASSOL
TC8,TARUGO 3 CORTES Nº8 CAJA X 50 (CAJA X 50 UNIDADES),923.56,MASSOL
TC10,TARUGO 3 CORTES Nº 10 CAJA X 25 (CAJA X 25 UNIDADES),824.55,MASSOL
TC6G,TARUGO 3 CORTES Nº 6 BOLSA X 1000 (BOLSON X 1000 UNID. ),9563.55,MASSOL
TC8G,TARUGO 3 CORTES Nº 8 BOLSA X 1000 (BOLSON X 1000 UNID. ),16606.27,MASSOL
TC10G,TARUGO 3 CORTES Nº 10 BOLSA X 500 (BOLSON X 500 UNID.),14828.77,MASSOL
TC12G,TARUGO 3 CORTES Nº 12 BOLSA X 250 (BOLSON X 250 UNID.),12772.81,MASSOL
BM6,TARUGO ESTANDAR BOLSA MAXI Nº6 X 2000 (BOLSON X 2000 UNID. ),5020.01,MASSOL
BM8,TARUGO ESTANDAR BOLSA MAXI Nº8 X 1000 (BOLSON X 1000 UNID. ),5238.92,MASSOL
BM10,TARUGO ESTANDAR BOLSA MAXI Nº 10 X 500 (BOLSON X 500 UNID.),5064.10,MASSOL
BM12,TARUGO ESTANDAR BOLSA MAXI Nº 12 X 250 (BOLSON X 250 UNID.),5227.31,MASSOL
BMA6,TARUGO CON ARANDELA BOLSA Nº 6 X 2000 (BOLSON X 2000 UNID. ),6429.33,MASSOL
BMA8,TARUGO CON ARANDELA BOLSA Nº 8 X 1000 (BOLSON X 1000 UNID. ),6532.98,MASSOL
BMA10,TARUGO CON ARANDELA BOLSA Nº 10 X 500 (BOLSON X 500 UNID. ),5967.55,MASSOL
BMA12,TARUGO CON ARANDELA BOLSA Nº 12 X 250 (BOLSON X 250 UNID.),6608.01,MASSOL
HD10,TARUGO PARA DURLOCK,15087.89,MASSOL
BMDUR,TARUGO DURLOK BOLSA Nº 12,26609.17,MASSOL
7010,BARRE HOJAS CHICO,384.43,MASSOL
7020,BARRE HOJAS GRANDE,916.60,MASSOL
CR015,"SEPARADORES CRUZ 1,5 MM 250U.",365.09,MASSOL
CR020,SEPARADORES CRUZ 2 MM 250U.,365.09,MASSOL
CR025,"SEPARADORES CRUZ 2,5 MM 250 U,",455.59,MASSOL
CR030,SEPARADORES CRUZ 3 MM 200 U.,599.46,MASSOL
CR040,SEPARADORES CRUZ 4 MM 200 U.,626.53,MASSOL
CR055,"SEPARADORES CRUZ 5,5 MM 150 U.",467.97,MASSOL
CR085,"SEPARADORES CRUZ 8,5MM  50 U.",251.39,MASSOL
CN010,"CUÑA NIVELADORA 0,5 A 5 MM 200 U.",399.90,MASSOL
CD010,CUÑA DENTADA 5 A 13 MM 100 U.,1136.27,MASSOL
NS015,"ARCO NIVELADOR 1,5 MM 100 U.",761.90,MASSOL
PNS,PINZA NIVELADORA,2348.35,MASSOL
